,ITEM_NAME,ITEM_BRAND,ITEM_PRICE,ITEM_IMG,CATEGORY,ITEM_STATUES,YEAR,MONTH
33,Lifebuoy Soap Mild Care 160 gm,Lifebuoy,8.35,"https://www.nahdionline.com/media/catalog/product/1/0/100523811_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
34,Lux Soap Magical Beauty 175/170 gm,Lux,5.5,"https://www.nahdionline.com/media/catalog/product/1/0/100616988_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
35,Lux Soap Bar Velvet Touch Soft & Smooth 120 gm,Lux,4.75,"https://www.nahdionline.com/media/catalog/product/1/0/100622309_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
36,Viora Handwash With Cranberry Extract 500 ml,Viora,14.65,"https://www.nahdionline.com/media/catalog/product/1/0/101119609_0_2.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
37,Lux Liquid Soap Velvet Touch Soft & Smooth 250 ml,Lux,9.41,"https://www.nahdionline.com/media/catalog/product/1/0/100646044_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
38,Lux Soap Bar Soft Touch 120 gm,Lux,4.75,"https://www.nahdionline.com/media/catalog/product/1/0/100622317_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
39,Yang Chain Soap Bar Papaya With Herbal Extract 100 gm,Yang Chain,10.45,"https://www.nahdionline.com/media/catalog/product/1/0/100622704_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
40,Pyray-Ayurvedic Soap 75 gm,Payary,6.3,"https://www.nahdionline.com/media/catalog/product/1/0/100612733_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
41,Lifebuoy Soap Nature 125 gm,Lifebuoy,7.88,"https://www.nahdionline.com/media/catalog/product/1/0/100523669_0.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
42,"Johnson Vita Rich Bar Soap Honey,Oat & Yogurt 125 g",Johnson & Johnson,3.68,"https://www.nahdionline.com/media/catalog/product/1/0/101228354_0_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,solid,2020,3
43,Nahdi Antibacterial Hand Wash Relaxing Lavender Extract 200 ml,Nahdi,11.5,"https://www.nahdionline.com/media/catalog/product/1/0/101139669_0_2.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
44,Nahdi Antibacterial Hand Wash Relaxing Lavender Extract 500 ml,Nahdi,20.95,"https://www.nahdionline.com/media/catalog/product/1/0/101139634_0_2.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
45,Nahdi Antibacterial Hand Wash Total Care Aloe Vera Extract 200 ml,Nahdi,11.5,"https://www.nahdionline.com/media/catalog/product/1/0/101139651_0_2.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300",Hand Foot Care,liquid,2020,3
